State,Year,Urbanity,Unemployment,GDP_Per_Capital,GDP,Union,Voe,BlackE,BlackM,HispanicE,HispanicM,WhiteE,WhiteM,Totalpop,StudentpopE,StudentpopM,giniE,giniM,,,,,,,
Alabama,2005,10.2,NA,39692,1.2,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
Alabama,2006,8.8,NA,39922,1.2,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
Alabama,2007,9.5,NA,39776,1.2,9.5,209122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
Alabama,2008,9.8,NA,39273,1.2,9.8,196117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
Alabama,2009,10.9,10.99167,37416,1.2,10.9,56543,1205312,1851,130220,487,3174011,629,4633360,249761,2242,0.471,0.0025,,,,,,,
Alabama,2010,10.1,10.54167,38087,1.2,10.1,64906,1226430,2309,162371,557,3188814,806,4712651,258284,2041,0.47,0.003,,,,,,,
Alabama,2011,10,9.616667,38562,1.2,10,69338,1238196,1843,173990,289,3195148,558,4747424,258361,1967,0.4701,0.0018,,,,,,,
Alabama,2012,9.2,7.983333,38687,1.2,9.2,72578,1249402,1931,182268,567,3202443,638,4777326,255665,2136,0.4705,0.0022,,,,,,,
Alabama,2013,10.7,9.616667,38954,1.1,10.7,81341,1255663,1814,188294,530,3205483,720,4799277,255674,2092,0.4729,0.0018,,,,,,,
Alabama,2014,10.8,7.216667,38585,1.1,10.8,86270,1263162,2288,191838,491,3206588,656,4817678,253992,2377,0.474,0.0023,,,,,,,
Alabama,2015,10.2,6.758333,39014,1.1,10.2,78408,1270064,2448,193492,582,3204989,779,4830620,254478,2405,0.4753,0.0023,,,,,,,
Alabama,2016,8.1,5.85,39201,1.1,8.1,91984,1275780,2392,193503,400,3204335,642,4841164,254491,2180,0.4769,0.0019,,,,,,,
Alabama,2017,7.4,4.43333333,39594,1.1,7.4,99003,1280946,2090,198375,234,3198079,826,4850771,255751,2212,0.4776,0.0019,,,,,,,
Alaska,2005,22.8,NA,67549,0.3,22.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
